en_curid,name,numlangs,countryCode,countryCode3,countryName,continentName,birthyear,birthcity,gender,occupation,industry,domain,dataset,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
307,"Abraham Lincoln",131,US,USA,"United States","North America",1809,Hodgenville,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,66145211,5.801386687,586914.722,41477236,24667975,504925.2748,27.93858549
308,Aristotle,152,GR,GRC,Greece,Europe,-384,Stageira,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,56355172,11.91459682,201067.4607,15745351,40609821,370757.7105,31.99379508
339,"Ayn Rand",55,RU,RUS,Russia,Europe,1905,"Saint Petersburg",Female,WRITER,LANGUAGE,HUMANITIES,OGC,14208218,3.175684852,87632.4902,11023490,3184728,258331.2364,24.32593556
595,"Andre Agassi",69,US,USA,"United States","North America",1970,"Las Vegas",Male,"TENNIS PLAYER","INDIVIDUAL SPORTS",SPORTS,OGC,11244030,6.242524524,85553.3181,6353888,4890142,162956.9565,20.92599929
628,"Aldous Huxley",62,GB,GBR,"United Kingdom",Europe,1894,Surrey,Male,WRITER,LANGUAGE,HUMANITIES,OGC,9268920,6.219842058,33037.03209,5137256,4131664,149498.7097,25.99660548
676,"Andrei Tarkovsky",51,RU,RUS,Russia,Europe,1932,"Soviet Union",Male,"FILM DIRECTOR","FILM AND THEATRE",ARTS,OGC,4004103,9.298781801,14987.96969,1808634,2195469,78511.82353,25.24470117
700,"Arthur Schopenhauer",79,PL,POL,Poland,Europe,1788,"Gdańsk",Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,11622780,12.66621467,61718.81469,2743101,8879679,147123.7975,27.7760199
736,"Albert Einstein",166,DE,DEU,Germany,Europe,1879,Ulm,Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,89771090,11.50120142,342755.955,34276454,55494636,540789.6988,30.21061426
783,"Alexander the Great",138,GR,GRC,Greece,Europe,-356,Pella,Male,"MILITARY PERSONNEL",MILITARY,INSTITUTIONS,OGC,48358148,11.18240645,153675.9172,19942587,28415561,350421.3623,31.58395203
808,"Alfred Hitchcock",100,GB,GBR,"United Kingdom",Europe,1899,Leytonstone,Male,"FILM DIRECTOR","FILM AND THEATRE",ARTS,OGC,23216701,8.349060938,164426.3051,10496279,12720422,232167.01,27.17598213
841,"Attila the Hun",83,HU,HUN,Hungary,Europe,406,"Hajdúböszörmény",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,11123103,13.97581312,59842.86906,2971786,8151317,134013.2892,29.24332716
851,"Alfred Nobel",109,SE,SWE,Sweden,Europe,1833,Stockholm,Male,CHEMIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,11998627,13.78529862,79776.41048,4360758,7637869,110079.1468,27.64615987
852,"Alexander Graham Bell",94,GB,GBR,"United Kingdom",Europe,1847,Edinburgh,Male,INVENTOR,INVENTION,"SCIENCE & TECHNOLOGY",OGC,18989520,8.199693285,157392.1342,9443685,9545835,202016.1702,26.92276279
864,"Andy Warhol",100,US,USA,"United States","North America",1928,Pittsburgh,Male,ARTIST,"FINE ARTS",ARTS,OGC,34354584,7.526343155,113050.3572,17306096,17048488,343545.84,27.91983828
868,"Alp Arslan",39,UNK,UNK,Unknown,Unknown,1029,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1142695,8.817610992,4561.959976,264784,877911,29299.87179,25.74359669
872,"Akira Kurosawa",102,JP,JPN,Japan,Asia,1910,"Shinagawa, Tokyo",Male,"FILM DIRECTOR","FILM AND THEATRE",ARTS,OGC,9833860,9.490106699,91964.93387,3746139,6087721,96410.39216,26.23577062
890,"Anna Kournikova",56,RU,RUS,Russia,Europe,1981,Moscow,Female,"TENNIS PLAYER","INDIVIDUAL SPORTS",SPORTS,OGC,8817761,4.604698116,52365.86755,5859294,2958467,157460.0179,18.37364131
915,"Andrey Markov",36,RU,RUS,Russia,Europe,1856,Ryazan,Male,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,480789,4.747322194,1474.179927,319858,160931,13355.25,22.28780154
924,"A. A. Milne",33,GB,GBR,"United Kingdom",Europe,1882,Kilburn,Male,WRITER,LANGUAGE,HUMANITIES,OGC,2228190,4.204541679,8720.890426,1556213,671977,67520.90909,23.13392116
930,"Alvin Toffler",30,US,USA,"United States","North America",1928,"New York City",Male,WRITER,LANGUAGE,HUMANITIES,OGC,1835697,7.831904944,5433.485606,773573,1062124,61189.9,24.08581241
954,"Albert Speer",52,DE,DEU,Germany,Europe,1905,Mannheim,Male,ARCHITECT,DESIGN,ARTS,OGC,7724852,6.818185968,22472.3941,3782972,3941880,148554.8462,25.99869344
974,"Ada Lovelace",61,GB,GBR,"United Kingdom",Europe,1815,London,Female,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,13222419,8.682734334,967214.7879,6187390,7035029,216760.9672,24.19188341
983,"Albert Camus",95,DZ,DZA,Algeria,Africa,1913,Drean,Male,WRITER,LANGUAGE,HUMANITIES,OGC,18091886,10.40740845,225236.2088,5388929,12702957,190440.9053,26.68507129
984,"Agatha Christie",91,GB,GBR,"United Kingdom",Europe,1890,Torquay,Female,WRITER,LANGUAGE,HUMANITIES,OGC,19500789,12.70760109,222207.9739,6663457,12837332,214294.3846,27.09011545
1006,Aaron,59,EG,EGY,Egypt,Africa,-1400,Unknown,Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,2819250,6.4515323,9444.91564,1587626,1231624,47783.89831,27.60209372
1017,"Allen Ginsberg",52,US,USA,"United States","North America",1926,Newark,Male,WRITER,LANGUAGE,HUMANITIES,OGC,7134493,4.542438474,21004.54719,4788007,2346486,137201.7885,24.90590029
1020,"Anatoly Karpov",55,KZ,KAZ,Kazakhstan,Asia,1951,Zlatoust,Male,CHESSMASTER,"INDIVIDUAL SPORTS",SPORTS,OGC,1749016,10.07661917,8687.220016,769221,979795,31800.29091,22.97518017
1028,Aristophanes,68,GR,GRC,Greece,Europe,-446,Athens,Male,WRITER,LANGUAGE,HUMANITIES,OGC,4704294,11.46674107,14756.36958,1617766,3086528,69180.79412,28.72133392
1029,"Albert Schweitzer",62,FR,FRA,France,Europe,1875,Kaysersberg,Male,PHYSICIAN,MEDICINE,"SCIENCE & TECHNOLOGY",OGC,5818033,8.772934798,18818.22213,1870665,3947368,93839.24194,26.49885332
1051,"Alexis Carrel",43,FR,FRA,France,Europe,1873,"Sainte-Foy-lès-Lyon",Male,PHYSICIAN,MEDICINE,"SCIENCE & TECHNOLOGY",OGC,857702,11.54356514,3588.415423,285436,572266,19946.55814,24.22920885
1057,"Anatole France",70,FR,FRA,France,Europe,1844,Paris,Male,WRITER,LANGUAGE,HUMANITIES,OGC,2192222,13.12367909,6695.338606,609961,1582261,31317.45714,26.31231176
1058,"André Gide",66,FR,FRA,France,Europe,1869,Paris,Male,WRITER,LANGUAGE,HUMANITIES,OGC,3180011,11.51503978,8646.948642,807373,2372638,48181.98485,26.52855152
1130,Avicenna,102,UZ,UZB,Uzbekistan,Asia,980,Bukhara,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,10026549,12.30747461,56379.94959,2408563,7617986,98299.5,28.89172648
1141,"Augustin-Jean Fresnel",41,FR,FRA,France,Europe,1788,"Broglie, Eure",Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,657036,11.95308594,1619.632254,187765,469271,16025.26829,24.88926142
1168,Anaximander,70,TR,TUR,Turkey,Asia,-610,Miletus,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,4275744,8.929602653,23454.07891,749220,3526524,61082.05714,28.12119429
1177,"Aleister Crowley",47,GB,GBR,"United Kingdom",Europe,1875,"Leamington Spa",Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,15560425,5.820401277,34638.08843,8645906,6914519,331072.8723,26.74577909
1208,"Alan Turing",108,GB,GBR,"United Kingdom",Europe,1912,"Maida Vale",Male,"COMPUTER SCIENTIST","COMPUTER SCIENCE","SCIENCE & TECHNOLOGY",OGC,17997811,9.422714896,928280.0478,8685854,9311957,166646.3981,24.98917589
1235,"Alexander Mackenzie",26,GB,GBR,"United Kingdom",Europe,1822,Logierait,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,448234,1.536693073,1885.252053,416369,31865,17239.76923,19.04029498
1239,Ashoka,89,IN,IND,India,Asia,-304,Patna,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,5148177,6.087364259,44474.35924,3393087,1755090,57844.68539,26.73672242
1247,"Alfonso Cuarón",29,MX,MEX,Mexico,"North America",1961,"Mexico City",Male,"FILM DIRECTOR","FILM AND THEATRE",ARTS,OGC,2597077,4.321254305,41903.96011,1495260,1101817,89554.37931,18.87219943
1256,"Antoninus Pius",63,IT,ITA,Italy,Europe,86,Lanuvium,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,2326411,13.8016845,8572.582366,819088,1507323,36927.15873,27.77668848
1273,Augustus,117,IT,ITA,Italy,Europe,-63,Rome,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,20307663,10.51722923,62055.84857,8544515,11763148,173569.7692,30.41951894
1363,"André-Marie Ampère",76,FR,FRA,France,Europe,1775,Lyon,Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,3458682,11.8935896,14485.57921,728754,2729928,45508.97368,26.77275072
1370,Ambrose,55,DE,DEU,Germany,Europe,337,Trier,Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,2483720,9.875295437,13544.76083,891069,1592651,45158.54545,26.86852989
1389,Ahab,33,IL,ISR,Israel,Asia,-900,Samaria,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1036200,5.822131594,3850.785544,617518,418682,31400.0,25.27555813
1408,Alcuin,39,GB,GBR,"United Kingdom",Europe,735,York,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,925046,10.01901004,3052.117818,351591,573455,23719.12821,25.82465838
1425,"Antonio Vivaldi",103,IT,ITA,Italy,Europe,1678,Venice,Male,COMPOSER,MUSIC,ARTS,OGC,15870117,13.57765229,182505.7612,4300266,11569851,154078.8058,27.8898214
1436,Abraham,105,UNK,,Unknown,,-1800,"",Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,17824676,10.73163628,76364.02514,7111066,10713610,169758.819,30.60465403
1438,Absalom,35,PS,PSE,Palestine,Asia,-3500,Jerusalem,Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,1544050,6.579169688,7839.201352,847696,696354,44115.71429,26.11354202
1494,"Alfred Russel Wallace",53,GB,GBR,"United Kingdom",Europe,1823,Llanbadoc,Male,BIOLOGIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,3184505,6.47600417,14836.59713,1526737,1657768,60085.0,25.03659519
1514,"Albert I, Duke of Prussia",28,DE,DEU,Germany,Europe,1490,Ansbach,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,OGC,108313,14.23594727,583.5857349,180,108133,3868.321429,23.04134854
1527,"Ahmed I",48,TR,TUR,Turkey,Asia,1590,Manisa,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1194784,15.43826315,13375.04568,233024,961760,24891.33333,24.96249107
1528,"Ahmed II",42,TR,TUR,Turkey,Asia,1643,"Topkapı Palace",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,618226,17.62495235,5702.141588,115192,503034,14719.66667,24.41043518
1529,"Ahmed III",45,BG,BGR,Bulgaria,Europe,1673,Constanta,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,917948,14.28283699,8512.533112,201641,716307,20398.84444,24.55621575
1550,"Agesilaus II",30,GR,GRC,Greece,Europe,-444,Sparta,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,336422,10.41450521,1020.193445,121793,214629,11214.06667,25.1741122
1557,"Agrippina the Younger",34,DE,DEU,Germany,Europe,15,Cologne,Female,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1768082,8.318909152,5989.429498,745969,1022113,52002.41176,26.37543304
1560,"Ahmed Shah Abdali",37,PK,PAK,Pakistan,Asia,1722,Multan,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,689302,4.986977278,4146.850828,458569,230733,18629.78378,22.49586619
1570,"Alaric I",52,RO,ROU,Romania,Europe,370,"Peuce Island",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1811757,9.91868912,6385.239695,758635,1053122,34841.48077,26.82538974
1571,"Alaric II",36,RO,ROU,Romania,Europe,450,Tulcea,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,382896,13.532822,1905.937623,100227,282669,10636.0,25.07184306
1573,"Albertus Magnus",57,DE,DEU,Germany,Europe,1193,Lauingen,Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,2278838,11.0076645,9596.248431,689575,1589263,39979.61404,26.75354666
1575,Alboin,31,RS,SRB,Serbia,Europe,530s,Pannonia,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,453150,8.528973751,3969.585553,151681,301469,14617.74194,23.92192554
1576,"Afonso de Albuquerque",35,PT,PRT,Portugal,Europe,1453,"Vila Franca de Xira",Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,OGC,858672,8.567428844,4210.306735,393153,465519,24533.48571,24.36005082
1577,Alcaeus,37,GR,GRC,Greece,Europe,-620,Mytilene,Male,WRITER,LANGUAGE,HUMANITIES,OGC,512525,13.19392704,2200.196403,97283,415242,13852.02703,25.98267397
1586,"Alexander Balas",27,TR,TUR,Turkey,Asia,-200,Izmir,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,161803,10.5118967,513.8710656,63125,98678,5992.703704,24.17935199
1591,"Alexander II of Russia",62,RU,RUS,Russia,Europe,1818,Moscow,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,6759130,6.088541566,29783.83982,2343104,4416026,109018.2258,26.18597625
1592,"Alexander III of Russia",62,RU,RUS,Russia,Europe,1845,"Saint Petersburg",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,5159144,6.426846599,21659.38225,1834666,3324478,83212.0,25.89702144
1593,"Alexander I of Scotland",27,GB,GBR,"United Kingdom",Europe,1078,Dunfermline,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,252063,4.34415717,666.2129902,168404,83659,9335.666667,22.69274299
1594,"Alexander II of Scotland",32,GB,GBR,"United Kingdom",Europe,1198,Haddington,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,324783,3.46689866,912.279394,241449,83334,10149.46875,22.4732365
1595,"Alexander I of Serbia",28,RS,SRB,Serbia,Europe,1876,Belgrade,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,510669,11.16303401,4440.087188,149042,361627,18238.17857,22.56057841
1596,"Alexander III of Scotland",30,GB,GBR,"United Kingdom",Europe,1241,Roxburgh,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,504658,2.982732811,1347.142854,392969,111689,16821.93333,22.56296824
1600,"Alexander Severus",50,LB,LBN,Lebanon,Asia,208,Akkar,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1433285,12.830905,7258.893645,498534,934751,28665.7,26.62963749
1613,"Alexios I Komnenos",52,TR,TUR,Turkey,Asia,1048,Istanbul,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1017450,11.38799549,4614.458427,429531,587919,19566.34615,25.74453467
1615,"Alexios II Komnenos",31,TR,TUR,Turkey,Asia,1169,Constantinople,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,287151,11.1242788,1003.103143,103899,183252,9262.935484,24.20252808
1616,"Alexios III Angelos",34,TR,TUR,Turkey,Asia,1153,Istanbul,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,306715,12.67566637,1317.951381,99380,207335,9021.029412,24.3554065
1617,"Alexios V",31,UNK,UNK,Unknown,Unknown,1150,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,274989,12.95379861,1658.195852,85022,189967,8870.612903,23.86092511
1623,"Andrew Jackson",93,US,USA,"United States","North America",1767,Waxhaw,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,13329459,2.843824636,59632.63565,10971710,2357749,143327.5161,25.35508721
1624,"Andrew Johnson",85,US,USA,"United States","North America",1808,Raleigh,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,7294751,3.657924525,32324.81951,5643638,1651113,85820.6,25.03865625
1625,"Aleksandr Solzhenitsyn",91,RU,RUS,Russia,Europe,1918,Kislovodsk,Male,WRITER,LANGUAGE,HUMANITIES,OGC,4535988,12.1638732,47626.38088,1957974,2578014,49846.02198,25.3365328
1640,"Alfred the Great",59,GB,GBR,"United Kingdom",Europe,849,Oxfordshire,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,4131426,5.484130746,13590.56018,2683029,1448397,70024.16949,26.49813804
1645,"Ibn al-Haitham",53,IQ,IRQ,Iraq,Asia,965,Basra,Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,3158260,6.02409005,57838.7227,763193,2395067,59589.81132,25.19514353
1652,"Alyattes II",26,UNK,UNK,Unknown,Unknown,-619,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,107100,17.14121182,535.613952,10735,96365,4119.230769,24.27789086
1655,Amalasuntha,30,IT,ITA,Italy,Europe,495,Tuscany,Female,COMPANION,COMPANIONS,"PUBLIC FIGURE",OGC,315628,11.91486413,1170.809219,70599,245029,10520.93333,24.89229701
1657,"Afonso I of Portugal",45,PT,PRT,Portugal,Europe,1109,Coimbra,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1408965,5.507207771,4720.096019,325248,1083717,31310.33333,25.74083248
1658,"Afonso II of Portugal",28,PT,PRT,Portugal,Europe,1185,Coimbra,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,348067,7.376496332,1024.224327,83971,264096,12430.96429,24.21310801
1659,"Afonso III of Portugal",29,PT,PRT,Portugal,Europe,1210,Coimbra,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,456320,7.131772375,1693.006278,134122,322198,15735.17241,24.15942763
1660,"Afonso IV of Portugal",31,PT,PRT,Portugal,Europe,1291,Lisbon,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,357633,6.751186611,1122.006894,96247,261386,11536.54839,24.05310877
1661,"Afonso V of Portugal",26,PT,PRT,Portugal,Europe,1432,"Sintra National Palace",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,564244,6.903264228,3306.702903,156316,407928,21701.69231,23.56300313
1676,"Alfonso XII of Spain",43,ES,ESP,Spain,Europe,1857,Madrid,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1708239,5.181490707,7680.005563,375783,1332456,39726.48837,24.27946034
1677,"Alfonso XIII of Spain",53,ES,ESP,Spain,Europe,1886,Madrid,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,3183026,6.204733563,17226.16305,928847,2254179,60057.09434,24.86073526
1686,"Alfonso V of Aragon",28,ES,ESP,Spain,Europe,1396,"Medina del Campo",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,625190,6.912841741,2425.699702,169732,455458,22328.21429,24.2044769
1698,Ambiorix,27,BE,BEL,Belgium,Europe,-100,Unknown,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,329916,8.108830469,1138.764072,129935,199981,12219.11111,24.50953511
1715,"Abu Bakr",78,SA,SAU,"Saudi Arabia",Asia,573,Mecca,Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,3940269,9.934881012,26282.19596,1809792,2130477,50516.26923,27.20399014
1735,Ananda,34,UNK,UNK,Unknown,Unknown,-573,"",Male,"RELIGIOUS FIGURE",RELIGION,INSTITUTIONS,OGC,1048921,7.371882294,4328.887165,322143,726778,30850.61765,25.9022039
1737,Anaxagoras,62,TR,TUR,Turkey,Asia,-500,Clazomenae,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,2528167,10.80941456,10783.11738,504044,2024123,40776.8871,27.8563984
1748,"Anaximenes of Miletus",62,TR,TUR,Turkey,Asia,-585,Miletus,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,2846623,7.643850001,18297.70149,264257,2582366,45913.27419,27.36729233
1749,"Ancus Marcius",34,IT,ITA,Italy,Europe,-700,Rome,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,603418,12.86593041,2028.27929,139936,463482,17747.58824,26.24905903
1755,"Andrew II of Hungary",30,HU,HUN,Hungary,Europe,1177,Esztergom,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,527331,10.27732153,2709.111296,166176,361155,17577.7,24.3764208
1760,"Andronikos III Palaiologos",35,TR,TUR,Turkey,Asia,1297,Constantinople,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,307708,12.81932428,1210.967132,106496,201212,8791.657143,24.32138989
1761,"Andronikos II Palaiologos",37,TR,TUR,Turkey,Asia,1259,"İznik",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,368407,12.61995478,1526.655381,128362,240045,9956.945946,24.5234321
1762,"Andronikos I Komnenos",40,TR,TUR,Turkey,Asia,1118,Istanbul,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,467629,11.51421017,1819.333239,167852,299777,11690.725,24.91866652
1767,"Ammianus Marcellinus",48,TR,TUR,Turkey,Asia,320,Antioch,Male,WRITER,LANGUAGE,HUMANITIES,OGC,677989,12.99251758,1970.633711,218935,459054,14124.77083,26.39929066
1789,Apuleius,48,DZ,DZA,Algeria,Africa,120,Madaurus,Male,WRITER,LANGUAGE,HUMANITIES,OGC,1349270,11.46890965,5294.307258,327467,1021803,28109.79167,26.85517022
1790,"Alexander Selkirk",31,GB,GBR,"United Kingdom",Europe,1676,Fife,Male,PIRATE,OUTLAWS,"PUBLIC FIGURE",OGC,1581069,6.870783607,11867.95709,732065,849004,51002.22581,23.82673521
1806,"Arnold Schwarzenegger",87,AT,AUT,Austria,Europe,1947,Thal,Male,ACTOR,"FILM AND THEATRE",ARTS,OGC,54504491,6.814016438,262881.5121,29269804,25234687,626488.4023,26.93705727
1814,"Adam Smith",111,GB,GBR,"United Kingdom",Europe,1723,Kirkcaldy,Male,ECONOMIST,"SOCIAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,20395667,10.31385132,63839.10625,7303414,13092253,183744.7477,29.01054945
1822,"Antoine Lavoisier",75,FR,FRA,France,Europe,1743,Paris,Male,CHEMIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,9451201,8.649364907,56685.05004,2470690,6980511,126016.0133,27.11173497
1828,"Amitabh Bachchan",56,IN,IND,India,Asia,1942,Allahabad,Male,ACTOR,"FILM AND THEATRE",ARTS,OGC,13399037,2.174105804,85497.0565,11566503,1832534,239268.5179,23.07584302
1840,"Agathocles of Syracuse",26,IT,ITA,Italy,Europe,-361,Sicily,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,251592,11.68212564,1871.574968,38211,213381,9676.615385,24.21790548
1842,"Augustin Louis Cauchy",50,FR,FRA,France,Europe,1789,Dijon,Male,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,1297263,15.26950662,5648.658144,325241,972022,25945.26,25.48861979
1844,Archimedes,129,IT,ITA,Italy,Europe,-287,Syracuse,Male,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,22022077,13.38225217,71916.70106,7288783,14733294,170713.7752,30.99069732
1869,"Alfred Jarry",32,FR,FRA,France,Europe,1873,Laval,Male,WRITER,LANGUAGE,HUMANITIES,OGC,1234631,7.618918809,3498.249233,337003,897628,38582.21875,24.35812157
1873,"Anthemius of Tralles",28,TR,TUR,Turkey,Asia,474,"Aydın",Male,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,223382,9.190760924,932.9609372,103040,120342,7977.928571,23.74399411
1923,"Alessandro Volta",73,IT,ITA,Italy,Europe,1745,Como,Male,PHYSICIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,6799961,10.95807753,27989.76593,1864395,4935566,93150.15068,27.34572591
1937,"Alexander Fleming",81,GB,GBR,"United Kingdom",Europe,1881,Lochfield,Male,BIOLOGIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,9383477,9.239283124,38987.15672,3800763,5582714,115845.3951,26.88210337
1938,"Andrew Carnegie",50,US,USA,"United States","North America",1835,Dunfermline,Male,BUSINESSPERSON,BUSINESS,"BUSINESS & LAW",OGC,8363897,3.01215814,58780.81025,6501990,1861907,167277.94,23.8708565
1988,"Abel Tasman",70,NL,NLD,Netherlands,Europe,1603,Lutjegast,Male,EXPLORER,EXPLORERS,EXPLORATION,OGC,1821062,10.39811045,7152.612328,884118,936944,26015.17143,25.94326955
2009,"Alvar Aalto",62,FI,FIN,Finland,Europe,1898,Kuortane,Male,ARCHITECT,DESIGN,ARTS,OGC,3289004,12.25795699,8518.157726,1069021,2219983,53048.45161,26.34853864
2018,"A.J. Ayer",32,GB,GBR,"United Kingdom",Europe,1910,"United Kingdom",Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,533774,6.960290839,3338.229442,281757,252017,16680.4375,21.9843251
2021,"Atle Selberg",30,NO,NOR,Norway,Europe,1917,Langesund,Male,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,235100,11.41245531,666.7620603,91495,143605,7836.666667,22.59187258
2023,Aeschylus,74,GR,GRC,Greece,Europe,-525,Eleusina,Male,WRITER,LANGUAGE,HUMANITIES,OGC,6231138,11.7007718,21372.47386,1894433,4336705,84204.56757,29.09962779
2027,"Andrew Wiles",42,GB,GBR,"United Kingdom",Europe,1953,Cambridge,Male,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,2304054,8.617446743,16962.82902,1003230,1300824,54858.42857,22.12957571
2029,"Anne Brontë",50,GB,GBR,"United Kingdom",Europe,1820,"Thornton, Bradford",Female,WRITER,LANGUAGE,HUMANITIES,OGC,1441313,7.194694758,4859.057234,833610,607703,28826.26,24.41483622
2030,"Augustine of Hippo",105,DZ,DZA,Algeria,Africa,354,"Souk Ahras",Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,17433781,9.798263893,64481.7395,5677399,11756382,166036.0095,29.8872383
2042,"Alexander Grothendieck",28,DE,DEU,Germany,Europe,1928,Berlin,Male,MATHEMATICIAN,MATH,"SCIENCE & TECHNOLOGY",OGC,955278,5.790138502,4074.768691,505230,450048,34117.07143,22.49068801
2062,"Amerigo Vespucci",66,IT,ITA,Italy,Europe,1454,Florence,Male,EXPLORER,EXPLORERS,EXPLORATION,OGC,8051998,9.476075111,37402.06319,3157206,4894792,121999.9697,27.50074308
2063,"Aristide Maillol",29,FR,FRA,France,Europe,1861,Banyuls-sur-Mer,Male,PAINTER,"FINE ARTS",ARTS,OGC,530968,9.669916449,2087.066029,149466,381502,18309.24138,23.374427
2064,"Antonio Canova",42,IT,ITA,Italy,Europe,1757,Possagno,Male,ARTIST,"FINE ARTS",ARTS,OGC,2515904,7.9250942,9172.230214,487811,2028093,59902.47619,25.6678512
