en_curid,name,numlangs,countryCode,countryCode3,countryName,continentName,birthyear,birthcity,gender,occupation,industry,domain,dataset,TotalPageViews,L_star,StdDevPageViews,PageViewsEnglish,PageViewsNonEnglish,AverageViews,HPI
182069,"Otto Wallach",47,RU,RUS,Russia,Europe,1847,Kaliningrad,Male,CHEMIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,276852,23.50484864,1039.622688,45463,231389,5890.468085,24.3546887
182077,"Severo Ochoa",34,ES,ESP,Spain,Europe,1905,Luarca,Male,PHYSICIAN,MEDICINE,"SCIENCE & TECHNOLOGY",OGC,826568,5.164714442,4280.540982,181365,645203,24310.82353,22.90951103
182080,"Khalil Gibran",62,LB,LBN,Lebanon,Asia,1883,Bsharri,Male,WRITER,LANGUAGE,HUMANITIES,OGC,5734202,11.45074921,55322.58242,1094313,4639889,92487.12903,25.79093102
182082,"George Santayana",32,ES,ESP,Spain,Europe,1863,Madrid,Male,PHILOSOPHER,PHILOSOPHY,HUMANITIES,OGC,1818303,2.690369859,7049.279778,1465616,352687,56821.96875,22.11922754
182161,"Gaius Caesar",28,IT,ITA,Italy,Europe,-20,Rome,Male,NOBLEMAN,GOVERNMENT,INSTITUTIONS,OGC,423379,9.33603052,1965.493153,172748,250631,15120.67857,24.5883784
182328,"Jozef Tiso",32,SK,SVK,Slovakia,Europe,1887,"Bytča",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,888242,11.15573767,2726.728884,203095,685147,27757.5625,24.31319394
182494,"Roger Meddows Taylor",39,GB,GBR,"United Kingdom",Europe,1949,Norfolk,Male,MUSICIAN,MUSIC,ARTS,OGC,2293532,10.48061311,17322.94767,665909,1627623,58808.51282,23.06772727
182522,"Adolf Anderssen",37,PL,POL,Poland,Europe,1818,"Bila Tserkva",Male,CHESSMASTER,"INDIVIDUAL SPORTS",SPORTS,OGC,394409,12.99240278,882.0841507,138968,255441,10659.7027,24.25588474
182532,"Alec Baldwin",50,US,USA,"United States","North America",1958,Massapequa,Male,ACTOR,"FILM AND THEATRE",ARTS,OGC,16566705,3.801864614,75919.61172,11408548,5158157,331334.1,22.56023633
182540,"Levi Eshkol",39,UA,UKR,Ukraine,Europe,1895,Orativ,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,767592,9.971347084,2379.43441,273041,494551,19681.84615,24.01573383
182611,Ildibad,26,UNK,UNK,Unknown,Unknown,500,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,163280,12.11409241,326.2531065,43627,119653,6280.0,24.66529748
182656,"Bjørnstjerne Bjørnson",65,NO,NOR,Norway,Europe,1832,Kvikne,Male,WRITER,LANGUAGE,HUMANITIES,OGC,1216093,10.19194114,5353.658158,190966,1025127,18709.12308,25.23518693
182758,"Conrad IV of Germany",31,IT,ITA,Italy,Europe,1228,Andria,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,306279,8.978056951,1278.605598,116288,189991,9879.967742,23.79383732
182769,"Siim Kallas",26,EE,EST,Estonia,Europe,1948,Tallinn,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,263069,10.83496054,1423.182223,79875,183194,10118.03846,20.99892857
182789,"Manfred of Sicily",26,IT,ITA,Italy,Europe,1232,Venosa,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,375922,4.209121719,1477.729117,246,375676,14458.53846,23.59863129
182812,"Tom Wolfe",27,US,USA,"United States","North America",1931,Richmond,Male,WRITER,LANGUAGE,HUMANITIES,OGC,2297349,3.449145947,5231.023748,1632994,664355,85087.0,22.92754945
182870,"Marlee Matlin",34,US,USA,"United States","North America",1965,"Morton Grove",Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,4464960,2.676092661,48429.21044,3564822,900138,131322.3529,18.11789203
182966,"Tigranes the Great",37,UNK,UNK,Unknown,Unknown,-140,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,633163,9.108211394,3447.735857,223303,409860,17112.51351,25.21607552
182997,"Kathleen Turner",32,US,USA,"United States","North America",1954,Springfield,Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,5073243,3.600690695,20091.91509,3536186,1537057,158538.8438,21.61688657
183065,"George Herbert, 5th Earl of Carnarvon",27,GB,GBR,"United Kingdom",Europe,1866,"Highclere Castle",Male,ARCHAEOLOGIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,100601,8.98160561,886.4960909,19611,80990,3725.962963,20.84790731
183094,"Gavrila Romanovich Derzhavin",31,RU,RUS,Russia,Europe,1743,Kazan,Male,WRITER,LANGUAGE,HUMANITIES,OGC,170205,13.47923153,715.1428458,53669,116536,5490.483871,22.93511106
183124,"Chris Tucker",33,US,USA,"United States","North America",1971,Atlanta,Male,ACTOR,"FILM AND THEATRE",ARTS,OGC,8690866,3.332941463,36824.91033,6403335,2287531,263359.5758,19.22669236
183145,"Mikhail Tal",50,LV,LVA,Latvia,Europe,1936,Riga,Male,WRITER,LANGUAGE,HUMANITIES,OGC,1105892,7.507793885,9567.158429,628976,476916,22117.84,22.60985877
183387,"Mark Hoppus",33,US,USA,"United States","North America",1972,Ridgecrest,Male,MUSICIAN,MUSIC,ARTS,OGC,5100344,3.576923592,16554.09504,3543858,1556486,154555.8788,19.01863444
183417,"John Frusciante",39,US,USA,"United States","North America",1970,"New York City",Male,MUSICIAN,MUSIC,ARTS,OGC,12962309,6.366465096,52195.94247,6685745,6276564,332366.8974,21.26105904
183592,"Adelbert von Chamisso",32,FR,FRA,France,Europe,1781,Sivry-Ante,Male,BIOLOGIST,"NATURAL SCIENCES","SCIENCE & TECHNOLOGY",OGC,504491,7.799969972,1489.577721,77341,427150,15765.34375,23.96212801
183635,"François Guizot",32,FR,FRA,France,Europe,1787,"Nîmes",Male,HISTORIAN,HISTORY,HUMANITIES,OGC,565037,7.581800466,2081.498038,149576,415461,17657.40625,23.66585736
183652,"Ken Wilber",26,US,USA,"United States","North America",1949,"Oklahoma City",Male,WRITER,LANGUAGE,HUMANITIES,OGC,1578079,5.629430494,2769.650562,841815,736264,60695.34615,22.70688227
183716,"Anders Zorn",33,SE,SWE,Sweden,Europe,1860,Mora,Male,ARTIST,"FINE ARTS",ARTS,OGC,671293,8.018026059,2650.824515,219872,451421,20342.21212,23.48471827
183753,"Jane Wyman",33,US,USA,"United States","North America",1917,"Saint Joseph",Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,2312358,3.515120834,9716.469685,1674992,637366,70071.45455,22.60669664
183759,"Loretta Young",28,US,USA,"United States","North America",1913,"Salt Lake City",Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,2252141,2.499209823,30114.38671,1834603,417538,80433.60714,20.55020551
183785,"Susan Hayward",29,US,USA,"United States","North America",1917,Brooklyn,Female,ACTOR,"FILM AND THEATRE",ARTS,OGC,1783579,3.456451831,7653.787585,1305852,477727,61502.72414,22.15132492
183871,"Lothair II of Lotharingia",26,UNK,UNK,Unknown,Unknown,835,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,205280,10.94364049,675.8592793,42240,163040,7895.384615,24.19314698
183878,"Louis II, Holy Roman Emperor",35,UNK,UNK,Unknown,Unknown,825,"",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,176149,6.504222335,906.3991485,82044,94105,5032.828571,22.98006525
183955,"Jules Ferry",28,FR,FRA,France,Europe,1832,"Saint-Dié-des-Vosges",Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,1948003,3.087316778,13512.35281,209414,1738589,69571.53571,23.27230385
183974,"Alexandre Millerand",30,FR,FRA,France,Europe,1859,Paris,Male,POLITICIAN,GOVERNMENT,INSTITUTIONS,OGC,451794,8.312896773,1521.298055,98080,353714,15059.8,23.345639
